Id,Name,PriorityScore,Remarks,Status
328,lda_road_internet_audio_rule_brother,0,"road, internet, audio, rule, brother, person, 100, muscle, condition, junk",3
329,lda_well_app_email_age_help,0,"well, app, email, age, help, frame, movie, quick, recommendation, option",3
330,lda_friendly_access_app_hole_Editing,0,"friendly, access, app, hole, Editing, time, collection, friend, touch, note",3
331,lda_voice_class_quote_able_little,0,"voice, class, quote, able, little, year, image, 2, old, story",3
332,lda_helpful_home_app_business_important,0,"helpful, home, app, business, important, fast, smooth, restaurant, website, TA",3
333,lda_application_wonderful_perfect_pic_app,0,"application, wonderful, perfect, pic, app, ability, way, book, smart, color",3
334,lda_essential_stop_Evernote_app_list,0,"essential, stop, Evernote, app, list, home, mark, rhubarb, birthday, kitchen",3
335,lda_convenient_food_reminder_magazine_support,0,"convenient, food, reminder, magazine, support, notebook, receipt, Nice, sport, clipping",3
336,lda_feature_app_improvement_college_student,0,"feature, app, improvement, college, student, sense, watsapp, cloud, sick, jump",3
337,lda_year_d_performance_post_app,0,"year, d, performance, post, app, m, OMG, couple, thank, program",3
338,lda_suite_Whatsapp_awesomeness_team_workout,0,"suite, Whatsapp, awesomeness, team, workout, office, resource, time, option, 90",3
339,lda_star_5_app_issue_little,0,"star, 5, app, issue, little, iPhone, device, direction, 2, option",3
340,lda_app_great_memory_Super_upgrade,0,"app, great, memory, Super, upgrade, note, function, feature, way, GPS",3
341,lda_app_Facebook_Samsung_interface_look,0,"app, Facebook, Samsung, interface, look, galaxy, note, professional, notebook, wish",3
342,lda_app_worth_beautiful_bit_world,0,"app, worth, beautiful, bit, world, reading, TripAdvisor, money, HTC, fact",3
343,lda_great_app_way_city_calculator,0,"great, app, way, city, calculator, goal, powerful, group, disease, plenty",3
344,lda_favorite_app_project_recipe_solution,0,"favorite, app, project, recipe, solution, diy, map, wonderful, scanner, home",3
345,lda_good_app_job_time_gr8,0,"good, app, job, time, gr8, backyard, level, way, close, traveler",3
346,lda_idea_creative_intuitive_secret_hard,0,"idea, creative, intuitive, secret, hard, way, inspiration, app, Fun, picture",3
347,lda_update_stuff_need_app_people,0,"update, stuff, need, app, people, week, 7, design, thing, recent",3
348,lda_setting_app_notification_control_AWESOME,0,"setting, app, notification, control, AWESOME, great, campaign, AI, wind, paper",3
349,lda_amazing_app_g_feature_target,0,"amazing, app, g, feature, target, lifesaver, iPad, version, uselful, 100",3
350,lda_site_app_deal_people_good,0,"site, app, deal, people, good, great, card, true, Pretty, search",3
351,lda_nice_app_follower_addition_option,0,"nice, app, follower, addition, option, 100, boredom, help, resourceful, Update",3
352,lda_PDF_app_traveler_restaurant_useful,0,"PDF, app, traveler, restaurant, useful, Dropbox, reader, guy, small, frequent",3
353,lda_easy_fantastic_computer_app_interface,0,"easy, fantastic, computer, app, interface, endless, way, ability, phone, satisfied",3
354,lda_info_great_past_ton_picture,0,"info, great, past, ton, picture, quality, local, future, related, editor",3
355,lda_photo_editor_multiple_app_evernote,0,"photo, editor, multiple, app, evernote, lover, head, Mac, function, little",3
356,lda_user_experience_app_slow_screen,0,"user, experience, app, slow, screen, gift, attraction, fan, option, excellent",3
357,lda_fun_recipe_simple_app_lot,0,"fun, recipe, simple, app, lot, tip, picture, store, indispensable, way",3
358,lda_Evernote_board_list_late_variety,0,"Evernote, board, list, late, variety, planning, safe, possible, fix, collage",3
359,lda_thing_place_house_party_able,0,"thing, place, house, party, able, picture, hair, little, thought, makeup",3
360,lda_time_app_long_annoying_aap,0,"time, app, long, annoying, aap, verse, thing, thinking, quick, capability",3
361,lda_change_forum_review_time_app,0,"change, forum, review, time, app, one, messenger, option, star, Galaxy",3
362,lda_cool_app_whatsapp_2_dinner,0,"cool, app, whatsapp, 2, dinner, ad, mod, better, activity, account",3
363,lda_free_app_lot_option_neat,0,"free, app, lot, option, neat, money, picture, saving, school, new",3
364,lda_Pinterest_app_accurate_datum_time,0,"Pinterest, app, accurate, datum, time, service, thing, huge, way, line",3
365,lda_trip_tool_advisor_inspiration_product,0,"trip, tool, advisor, inspiration, product, different, great, wrong, Xperia, road",3
366,lda_new_old_device_fine_super,0,"new, old, device, fine, super, crash, design, productivity, list, bug",3
367,lda_game_money_graphic_way_car,0,"game, money, graphic, way, car, control, price, paper, student, android",3
368,lda_word_app_book_track_superb,0,"word, app, book, track, superb, perfect, today, thumb, load, way",3
369,lda_problem_app_family_line_dollar,0,"problem, app, family, line, dollar, camera, holiday, event, huge, daughter",3
370,lda_phone_pinterest_app_happy_mobile,0,"phone, pinterest, app, happy, mobile, able, best, layout, game, 80",3
371,lda_funny_handy_android_kind_online,0,"funny, handy, android, kind, online, point, open, hope, way, sad",3
372,lda_work_tool_personal_plan_month,0,"work, tool, personal, plan, month, able, Evernote, purpose, place, document",3
373,lda_excellent_thank_app_category_tab,0,"excellent, thank, app, category, tab, resource, surprised, able, 2, flash",3
374,lda_app_meeting_time_little_tough,0,"app, meeting, time, little, tough, mode, great, golf, club, distance",3
375,lda_day_life_app_website_time,0,"day, life, app, website, time, ease, guide, battery, moment, title",3
376,lda_note_available_app_Evernote_number,0,"note, available, app, Evernote, number, web, time, platform, card, sync",3
377,lda_app_sync_great_price_time,0,"app, sync, great, price, time, flight, c, run, touch, way",3
378,lda_love_Love_app_3_addictive,0,"love, Love, app, 3, addictive, step, Picsart, brain, time, right",3
379,lda_4_app_date_creativity_finger,0,"4, app, date, creativity, finger, inspiring, screen, feature, awesome, release",3
380,lda_awesome_app_useful_productivity_spot,0,"awesome, app, useful, productivity, spot, hair, bill, dull, parking, monster",3
381,lda_review_hotel_travel_restaurant_real,0,"review, hotel, travel, restaurant, real, use, home, tripadvisor, negative, paper",3
382,lda_app_music_video_file_way,0,"app, music, video, file, way, picture, version, able, Dropbox, scripture",3
383,lda_search_interesting_function_specific_reference,0,"search, interesting, function, specific, reference, quick, bug, notebook, lab, v",3
384,lda_item_note_EverNote_minor_purchase,0,"item, note, EverNote, minor, purchase, work, Mac, organization, update, iPhone",3
385,lda_editing_program_app_review_time,0,"editing, program, app, review, time, effect, pics, useful, opinion, thank",3
386,lda_pin_people_App_friend_way,0,"pin, people, App, friend, way, app, contact, content, comment, time",3
387,lda_version_bad_Evernote_7_desktop,0,"version, bad, Evernote, 7, desktop, new, pc, document, tag, platform",3
388,lda_hour_weather_day_page_Tripadvisor,0,"hour, weather, day, page, Tripadvisor, visual, informative, order, busy, daily",3
389,lda_heart_rate_app_song_room,0,"heart, rate, app, song, room, location, feed, task, network, way",3
390,lda_area_sure_wedding_glad_map,0,"area, sure, wedding, glad, map, service, app, way, software, cooking",3
391,lda_Dropbox_app_link_file_way,0,"Dropbox, app, link, file, way, cover, accessible, browser, pinning, bunch",3
392,lda_app_iPad_complaint_vacation_great,0,"app, iPad, complaint, vacation, great, story, high, night, 1, option",3
393,manual_Apple,0,"ios, iphone, ipad, ipod, macbook, itune, itunes, air, airpod, mac",3
394,manual_Tripadvisor,0,"tripadvisor, tripadisor, trip, trips, advisor, travel, stay, hotel, traveler, tourist",3
395,manual_Pinterest,0,"pinterest, pin, pinned, idea, board, pintrest, pinning, visual, fashion, repin",3
